time,open,high,low,close,tick_volume,spread,real_volume
2026-08-03 12:00:00,156.973,156.978,156.913,156.948,534,22,0
2026-08-03 12:05:00,156.946,156.973,156.91,156.965,320,22,0
2026-08-03 12:10:00,156.966,157.028,156.935,156.952,615,22,0
2026-08-03 12:15:00,156.953,156.953,156.881,156.945,498,22,0
2026-08-03 12:20:00,156.951,156.953,156.908,156.925,464,22,0
2026-08-03 12:25:00,156.922,157.0,156.921,156.982,379,22,0
2026-08-03 12:30:00,156.983,157.021,156.959,157.011,369,22,0
2026-08-03 12:35:00,157.012,157.071,157.012,157.047,375,22,0
2026-08-03 12:40:00,157.048,157.126,157.033,157.071,463,22,0
2026-08-03 12:45:00,157.071,157.098,156.848,156.983,519,22,0
2026-08-03 12:50:00,156.984,157.02,156.886,156.901,573,22,0
2026-08-03 12:55:00,156.9,157.083,156.886,157.08,687,22,0
2026-08-03 13:00:00,157.082,157.084,156.99,157.024,474,22,0
2026-08-03 13:05:00,157.023,157.048,156.929,156.933,550,22,0
2026-08-03 13:10:00,156.934,156.982,156.932,156.947,435,22,0
2026-08-03 13:15:00,156.948,156.978,156.906,156.942,471,22,0
2026-08-03 13:20:00,156.941,156.998,156.941,156.97,419,22,0
2026-08-03 13:25:00,156.97,156.973,156.922,156.924,312,22,0
2026-08-03 13:30:00,156.923,156.93,156.876,156.888,428,22,0
2026-08-03 13:35:00,156.888,156.917,156.863,156.888,403,22,0
2026-08-03 13:40:00,156.887,156.96,156.887,156.95,304,23,0
2026-08-03 13:45:00,156.95,157.003,156.942,156.957,372,22,0
2026-08-03 13:50:00,156.957,156.971,156.659,156.85,662,22,0
2026-08-03 13:55:00,156.851,156.888,156.784,156.815,693,22,0
2026-08-03 14:00:00,156.817,156.856,156.747,156.845,663,22,0
2026-08-03 14:05:00,156.846,156.847,156.779,156.797,380,22,0
2026-08-03 14:10:00,156.798,156.833,156.773,156.774,396,22,0
2026-08-03 14:15:00,156.773,156.854,156.752,156.847,429,22,0
2026-08-03 14:20:00,156.848,156.906,156.847,156.906,398,22,0
2026-08-03 14:25:00,156.906,156.952,156.884,156.951,361,22,0
2026-08-03 14:30:00,156.952,156.963,156.905,156.913,452,22,0
2026-08-03 14:35:00,156.913,156.967,156.912,156.961,292,22,0
2026-08-03 14:40:00,156.962,156.982,156.912,156.933,268,22,0
2026-08-03 14:45:00,156.931,156.936,156.892,156.892,329,22,0
2026-08-03 14:50:00,156.891,156.897,156.565,156.79,844,22,0
2026-08-03 14:55:00,156.79,156.8,156.646,156.653,730,22,0
2026-08-03 15:00:00,156.652,156.705,156.624,156.656,617,22,0
2026-08-03 15:05:00,156.659,156.727,156.654,156.678,475,22,0
2026-08-03 15:10:00,156.677,156.71,156.575,156.607,526,22,0
2026-08-03 15:15:00,156.607,156.667,156.597,156.639,592,22,0
2026-08-03 15:20:00,156.639,156.703,156.619,156.666,266,22,0
