ema_short,ema_long,sl_atr,tp_atr,spread_atr_limit,train_trades,train_win_rate,train_return,train_pf,train_max_dd,test_trades,test_win_rate,test_return,test_pf,test_max_dd
10,30,1.5,2.0,0.6,261,30.268199233716476,-49.05075712649876,0.5856616646452638,49.05075712649876,94,29.78723404255319,-18.95183820131644,0.5782350933065434,20.757252875502743
10,30,1.5,3.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,1.5,3.0,0.4,81,20.98765432098765,-25.00960594892464,0.5319587120204905,27.27530786788485,16,25.0,-3.6404560951701193,0.6523391783103328,5.343584720691069
10,30,1.5,3.0,0.6,226,22.123893805309734,-49.26858236542565,0.574896934472149,49.268582365425644,92,26.08695652173913,-13.258229506636198,0.7148547457225545,18.34860675523922
10,30,2.0,1.5,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,2.0,1.5,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,2.0,1.5,0.6,125,39.2,-31.324325459503733,0.47600737855299796,31.324325459503733,58,48.275862068965516,-8.063343332397688,0.6789633181991646,12.620263946969121
10,30,2.0,2.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,2.0,2.0,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,2.0,2.0,0.6,124,33.87096774193548,-32.03953560747412,0.5034203936087085,32.03953560747413,55,41.81818181818181,-7.68818736239818,0.7080638899601397,13.659933894050056
10,30,2.0,3.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,2.0,3.0,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
10,30,2.0,3.0,0.6,112,25.892857142857146,-32.295015289899155,0.5054310660195545,32.295015289899155,58,36.206896551724135,-5.064703993556973,0.8353976410350176,14.640650806819943
20,50,1.0,1.5,0.25,50,30.0,-10.542108813773298,0.6493492823726903,10.903522581164253,2,50.0,0.2816107609493246,1.2829566181057006,0.9826959952876388
20,50,1.0,1.5,0.4,209,24.880382775119617,-48.56280939129327,0.49527704497199254,50.756287755467945,25,16.0,-9.46031007686,0.3012001299386121,9.460310076860006
20,50,1.0,1.5,0.6,304,23.684210526315788,-63.80501859600988,0.47104117696239517,65.26070947202089,71,16.901408450704224,-26.186702154805975,0.29860238970656167,26.82765196416858
20,50,1.0,2.0,0.25,55,30.909090909090907,-2.7991847484681753,0.9146420687981082,6.627261545174075,2,50.0,0.7072288785584968,1.710608824140839,0.9785834775726149
20,50,1.0,2.0,0.4,194,19.587628865979383,-48.679105425233594,0.4879578719724672,50.83049121650875,25,12.0,-10.250362860796503,0.2808963063323598,10.250362860796503
20,50,1.0,2.0,0.6,306,19.934640522875817,-63.081459396898886,0.5007756783179372,63.48972274841189,71,9.859154929577464,-29.548482710072253,0.22332472192355057,30.40308245588907
20,50,1.0,3.0,0.25,63,23.809523809523807,-2.0365231046024945,0.9520105545341883,16.36938128669523,3,33.33333333333333,0.5461803125888176,1.2720660462263438,1.9575385604325444
20,50,1.0,3.0,0.4,196,14.285714285714285,-49.8711333657502,0.5134950788663856,51.55950164239683,25,12.0,-8.24836433713526,0.4213444594985297,8.248364337135262
20,50,1.0,3.0,0.6,320,15.625,-62.37060446017606,0.548942606931363,62.83052869109243,71,9.859154929577464,-26.594706251237675,0.32396482583477465,27.876605869962894
20,50,1.5,1.5,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,1.5,1.5,0.4,118,38.983050847457626,-22.33111126028202,0.6293206060204317,24.807080001927794,14,14.285714285714285,-8.832637192547221,0.16347942948476996,8.832637192547226
20,50,1.5,1.5,0.6,235,36.17021276595745,-42.90853891874995,0.5696850522366013,44.94972999941183,54,31.48148148148148,-13.622576794004038,0.45999176501584293,15.47014556654151
20,50,1.5,2.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,1.5,2.0,0.4,100,31.0,-23.59993278899989,0.5899513192509694,24.96352504172223,14,14.285714285714285,-8.257256048325946,0.21797257264634198,8.257256048325944
20,50,1.5,2.0,0.6,284,32.74647887323944,-42.530185064562346,0.6664884636158531,42.530185064562346,51,21.568627450980394,-16.09321351740102,0.39051553186754817,17.94714505466396
20,50,1.5,3.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,1.5,3.0,0.4,86,22.093023255813954,-24.733329468602093,0.556212836135999,25.156172668306674,15,13.333333333333334,-8.050967777554652,0.3001139218859469,8.893410376889245
20,50,1.5,3.0,0.6,306,26.143790849673206,-42.54765848855556,0.721338948427332,42.54765848855556,52,21.153846153846153,-11.851278697782796,0.5661797375978591,15.127608195117773
20,50,2.0,1.5,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,2.0,1.5,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,2.0,1.5,0.6,112,40.17857142857143,-27.461560238580773,0.49355077084424515,27.461560238580766,34,32.35294117647059,-12.160906566688823,0.3549532158119767,13.92647387595991
20,50,2.0,2.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,2.0,2.0,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,2.0,2.0,0.6,113,35.39823008849557,-27.758831832865383,0.5330073220015493,27.758831832865383,30,23.333333333333332,-12.668526837208027,0.31053548574152967,14.265867001830804
20,50,2.0,3.0,0.25,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
20,50,2.0,3.0,0.4,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
