direction,signal_time,entry_time,exit_time,lot_size,entry_price,exit_price,stop_loss,take_profit,exit_reason,risk_amount_jpy,profit_jpy,balance_jpy,spread_atr_ratio,rsi14,ema20,ema50,atr14
BUY,2025-10-17 13:55:00,2025-10-17 14:00:00,2025-10-17 14:05:00,0.01,149.94,150.07349047096417,149.85100635269055,150.07349047096417,TAKE_PROFIT,88.99364730945129,133.4904709641762,9699.08402428499,0.22473514239118011,62.31617365544505,149.7802219435825,149.7743826830473,0.0889936473094513
BUY,2025-10-20 01:00:00,2025-10-20 01:05:00,2025-10-20 02:05:00,0.01,150.76899999999998,150.89901269753173,150.68232486831215,150.89901269753173,TAKE_PROFIT,86.67513168783582,130.01269753175393,9829.096721816744,0.242284027622045,68.43079061405993,150.45788907823376,150.4535490723152,0.08667513168783582
SELL,2025-10-21 10:55:00,2025-10-21 11:00:00,2025-10-21 11:00:00,0.01,151.148,151.2301464694279,151.2301464694279,151.02478029585816,STOP_LOSS,82.1464694278929,-82.14646942789727,9746.950252388848,0.243467554227096,41.8924221996131,151.20292260551432,151.2042005087506,0.0821464694278929
SELL,2025-10-21 11:05:00,2025-10-21 11:10:00,2025-10-21 11:10:00,0.01,151.104,151.1952436394557,151.1952436394557,150.9671345408165,STOP_LOSS,91.24363945568363,-91.24363945568348,9655.706612933165,0.2191933609762887,41.28408968522353,151.19669628251853,151.20161992368713,0.09124363945568363
SELL,2025-10-27 03:10:00,2025-10-27 03:15:00,2025-10-27 03:40:00,0.01,152.724,152.80815821328054,152.80815821328054,152.59776268007914,STOP_LOSS,84.15821328055576,-84.15821328054562,9571.54839965262,0.23764763081799978,32.5996787885863,152.9533958345702,152.96626268109105,0.08415821328055575
SELL,2025-10-30 02:45:00,2025-10-30 02:50:00,2025-10-30 02:50:00,0.01,152.589,152.6740440382456,152.6740440382456,152.46143394263157,STOP_LOSS,85.0440382456111,-85.04403824559859,9486.504361407022,0.23517227559489917,45.05564924066397,152.6498442628588,152.6515382546598,0.0850440382456111
BUY,2025-11-18 10:50:00,2025-11-18 10:55:00,2025-11-18 11:15:00,0.01,155.11200000000002,155.23622127908246,155.02918581394508,155.23622127908246,TAKE_PROFIT,82.81418605494918,124.22127908243397,9610.725640489456,0.24150451695231936,53.488188363744385,155.05535093261747,155.05419613002644,0.08281418605494917
SELL,2025-11-21 16:50:00,2025-11-21 16:55:00,2025-11-21 17:00:00,0.01,156.722,156.58476545924557,156.81348969383632,156.58476545924557,TAKE_PROFIT,91.48969383629442,137.23454075443442,9747.96018124389,0.2295340504426215,45.0114362266732,156.79214913026567,156.7958695114822,0.09148969383629442
SELL,2025-12-12 18:00:00,2025-12-12 18:05:00,2025-12-12 18:40:00,0.01,155.786,155.8708892804972,155.8708892804972,155.65866607925417,STOP_LOSS,84.8892804972107,-84.88928049720812,9663.070900746683,0.24738105773779082,40.342331696683544,155.91917889552587,155.92551410984296,0.0848892804972107
BUY,2025-12-15 18:10:00,2025-12-15 18:15:00,2025-12-15 18:35:00,0.01,155.17999999999998,155.31256498637958,155.09162334241358,155.31256498637958,TAKE_PROFIT,88.37665758640637,132.5649863796059,9795.63588712629,0.237619305521576,60.08299266831007,155.03249894635567,155.02510607467656,0.08837665758640637
BUY,2025-12-16 18:30:00,2025-12-16 18:35:00,2025-12-16 19:00:00,0.01,154.874,154.7778117190544,154.7778117190544,155.01828242141838,STOP_LOSS,96.18828094559605,-96.18828094559717,9699.447606180693,0.21832181419145613,60.22124922256998,154.7293960418716,154.7242067394218,0.09618828094559605
SELL,2026-01-15 11:35:00,2026-01-15 11:40:00,2026-01-15 12:30:00,0.01,158.392,158.47680033719328,158.47680033719328,158.26479949421008,STOP_LOSS,84.80033719327889,-84.80033719328617,9614.647268987406,0.24764052473206938,35.839686923633295,158.5471501454679,158.55413247435348,0.08480033719327888
SELL,2026-01-26 16:50:00,2026-01-26 16:55:00,2026-01-26 17:00:00,0.01,153.823,153.6815954515431,153.91726969897127,153.6815954515431,TAKE_PROFIT,94.26969897127033,141.40454845690442,9756.051817444311,0.2227651114744725,40.18826862607694,153.93515815871453,153.93783329943315,0.09426969897127033
SELL,2026-01-28 12:45:00,2026-01-28 12:50:00,2026-01-28 12:55:00,0.01,152.466,152.5623088405436,152.5623088405436,152.3215367391846,STOP_LOSS,96.30884054360406,-96.30884054359967,9659.742976900712,0.2180485185105328,35.648738160243695,152.62191388395678,152.62359818417295,0.09630884054360406
SELL,2026-01-30 10:15:00,2026-01-30 10:20:00,2026-01-30 10:20:00,0.01,153.737,153.82887954856602,153.82887954856602,153.59918067715094,STOP_LOSS,91.8795485660368,-91.87954856602687,9567.863428334686,0.21767629806784863,39.844802551083106,153.83803336122315,153.8421625747775,0.09187954856603679
