direction,signal_time,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,exit_reason,profit_jpy,balance_jpy,rsi14,ema20,ema50,atr14
SELL,2025-10-17 05:25:00,2025-10-17 05:30:00,2025-10-17 05:50:00,150.13,150.20437416402797,150.20437416402797,150.01843875395804,STOP_LOSS,-74.37416402797226,3183.134700624327,38.33545063308161,150.24369293133785,150.2466023197273,0.07437416402797828
BUY,2025-10-17 13:55:00,2025-10-17 14:00:00,2025-10-17 14:05:00,149.94,150.07349047096417,149.85100635269055,150.07349047096417,TAKE_PROFIT,133.4904709641762,3316.625171588503,62.31617365544505,149.7802219435825,149.7743826830473,0.0889936473094513
SELL,2025-10-20 00:35:00,2025-10-20 00:40:00,2025-10-20 00:40:00,150.344,150.4031518828119,150.4031518828119,150.25527217578215,STOP_LOSS,-59.15188281190353,3257.4732887765995,38.35670699523339,150.44496186311764,150.4500278882075,0.059151882811900106
BUY,2025-10-20 01:00:00,2025-10-20 01:05:00,2025-10-20 02:05:00,150.76899999999998,150.89901269753173,150.68232486831215,150.89901269753173,TAKE_PROFIT,130.01269753175393,3387.4859863083534,68.43079061405993,150.45788907823376,150.4535490723152,0.08667513168783582
SELL,2025-10-20 06:40:00,2025-10-20 06:45:00,2025-10-20 06:45:00,150.792,150.83777235340665,150.83777235340665,150.72334146989004,STOP_LOSS,-45.772353406647426,3341.7136329017058,39.19859835126075,150.84399623375822,150.84404019232116,0.045772353406644754
BUY,2025-10-20 10:25:00,2025-10-20 10:30:00,2025-10-20 10:30:00,150.798,150.7347684233332,150.7347684233332,150.8928473650002,STOP_LOSS,-63.23157666679435,3278.4820562349114,62.192921061123265,150.68982396746418,150.68805313800482,0.06323157666679166
SELL,2025-10-20 11:55:00,2025-10-20 12:00:00,2025-10-20 12:05:00,150.57,150.46287329594284,150.64141780270475,150.46287329594284,TAKE_PROFIT,107.1267040571513,3385.6087602920625,35.5546371974973,150.70306517003152,150.70330109696337,0.07141780270476474
BUY,2025-10-20 13:20:00,2025-10-20 13:25:00,2025-10-20 13:50:00,150.75500000000002,150.68552996891503,150.68552996891503,150.8592050466275,STOP_LOSS,-69.47003108498961,3316.138729207073,57.88305916020633,150.66464100842032,150.6621947216849,0.06947003108498362
SELL,2025-10-20 15:45:00,2025-10-20 15:50:00,2025-10-20 15:55:00,150.624,150.68381980430559,150.68381980430559,150.5342702935416,STOP_LOSS,-59.819804305590196,3256.318924901483,41.73123759348275,150.69077879288986,150.69474849964203,0.05981980430560029
BUY,2025-10-20 16:40:00,2025-10-20 16:45:00,2025-10-20 17:00:00,150.799,150.73684966031118,150.73684966031118,150.89222550953323,STOP_LOSS,-62.150339688827216,3194.1685852126557,60.08627844609409,150.69715231045586,150.69334325128872,0.06215033968881947
SELL,2025-10-20 17:20:00,2025-10-20 17:25:00,2025-10-20 17:35:00,150.568,150.47133447486982,150.63244368342015,150.47133447486982,TAKE_PROFIT,96.66552513019155,3290.8341103428475,35.00847813533251,150.68687992022726,150.69232392103982,0.06444368342012573
BUY,2025-10-20 20:05:00,2025-10-20 20:10:00,2025-10-20 20:30:00,150.69299999999998,150.76169090625456,150.64720606249693,150.76169090625456,TAKE_PROFIT,68.69090625457375,3359.525016597421,61.12003765115036,150.6154783978423,150.61534540035677,0.04579393750305087
SELL,2025-10-21 00:10:00,2025-10-21 00:15:00,2025-10-21 00:15:00,150.616,150.6494035220317,150.6494035220317,150.56589471695253,STOP_LOSS,-33.4035220316764,3326.121494565745,36.61244566363768,150.68563371795162,150.6896430914105,0.03340352203166645
BUY,2025-10-21 01:20:00,2025-10-21 01:25:00,2025-10-21 01:25:00,150.75900000000001,150.73200322313025,150.73200322313025,150.79949516530468,STOP_LOSS,-26.996776869765426,3299.1247176959796,61.27202598344257,150.6853063974862,150.68520095891205,0.026996776869773642
SELL,2025-10-21 03:15:00,2025-10-21 03:20:00,2025-10-21 03:20:00,150.594,150.65537468092802,150.65537468092802,150.50193797860797,STOP_LOSS,-61.37468092802578,3237.750036767954,39.16188408735365,150.69540469111567,150.70138494248482,0.061374680928017636
BUY,2025-10-21 04:45:00,2025-10-21 04:50:00,2025-10-21 05:00:00,150.919,151.03675550254627,150.84049633163585,151.03675550254627,TAKE_PROFIT,117.75550254625955,3355.505539314214,65.48821798301714,150.70042007646026,150.68817076020963,0.07850366836417311
