direction,sl_atr,tp_atr,holding_bars,trades,wins,losses,win_rate,total_r,average_r,profit_factor,max_drawdown_r,stop_loss_count,take_profit_count,time_exit_count,skipped_count
SELL,1.5,3.0,48,5958,1218,4740,20.44310171198389,-2380.0817209952465,-0.39947662319490546,0.49375112095828616,2390.0817209952406,4677,1131,150,216
SELL,2.0,1.5,12,6123,2235,3884,36.50171484566389,-1911.7627809914688,-0.31222648717809387,0.4398734849070645,1917.6403450653413,3106,1883,1134,54
SELL,2.0,1.5,24,6068,2310,3756,38.06855636123929,-1919.252924840558,-0.31629085775223437,0.465495245812701,1925.5029248405563,3479,2185,404,108
SELL,2.0,1.5,48,5958,2298,3660,38.56998992950655,-1910.0967725132396,-0.3205936174073917,0.4725250654102291,1916.59677251324,3598,2274,86,216
SELL,2.0,2.0,12,6123,2059,4058,33.62730687571452,-1874.2581226444036,-0.3061012775836034,0.4682717899965259,1878.7599758970857,3190,1436,1497,54
SELL,2.0,2.0,24,6068,2066,3998,34.04746209624258,-1873.834919417945,-0.3088060183615598,0.5036743661321174,1881.8349194179452,3631,1816,621,108
SELL,2.0,2.0,48,5958,2024,3934,33.97113125209802,-1889.9601897906168,-0.31721386199909646,0.512051152378545,1897.9601897906173,3841,1959,158,216
SELL,2.0,3.0,12,6123,1877,4239,30.65490772497142,-1875.7643775610081,-0.30634727708002746,0.48518762476596183,1883.0345273752355,3279,827,2017,54
SELL,2.0,3.0,24,6068,1772,4291,29.20237310481213,-1871.1534203719389,-0.3083641101469906,0.5321036167927101,1882.2972194195925,3825,1235,1008,108
SELL,2.0,3.0,48,5958,1671,4287,28.046324269889222,-1857.5123869675162,-0.31176777223355423,0.5564107075927244,1870.0123869675192,4131,1497,330,216
